ts,session_id,type,detail_json
2025-10-03T00:02:56.806Z,20251003-000249-a38436,hit,"{""lives_after"": 2, ""difficulty"": 1.07}"
2025-10-03T00:02:57.662Z,20251003-000249-a38436,powerup_spawn,"{""kind"": ""shield"", ""x"": 553}"
2025-10-03T00:03:02.007Z,20251003-000249-a38436,powerup_pickup,"{""kind"": ""shield""}"
2025-10-03T00:03:07.402Z,20251003-000249-a38436,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 404}"
2025-10-03T00:03:15.290Z,20251003-000249-a38436,powerup_spawn,"{""kind"": ""shield"", ""x"": 429}"
2025-10-03T00:03:18.852Z,20251003-000249-a38436,powerup_pickup,"{""kind"": ""shield""}"
2025-10-03T00:03:23.075Z,20251003-000249-a38436,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 452}"
2025-10-03T00:03:26.629Z,20251003-000249-a38436,powerup_pickup,"{""kind"": ""slowmo""}"
2025-10-03T00:03:31.564Z,20251003-000249-a38436,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 950}"
2025-10-03T00:03:34.827Z,20251003-000249-a38436,shield_used,"{""difficulty"": 1.87}"
2025-10-03T00:03:35.110Z,20251003-000249-a38436,hit,"{""lives_after"": 1, ""difficulty"": 1.88}"
2025-10-03T00:03:41.179Z,20251003-000249-a38436,hit,"{""lives_after"": 0, ""difficulty"": 1.42}"
2025-10-23T15:30:57.380Z,20251023-153047-80c3d3,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 852}"
2025-10-23T15:30:58.321Z,20251023-153047-5c34a1,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 603}"
2025-10-23T15:31:03.033Z,20251023-153047-5c34a1,powerup_pickup,"{""kind"": ""slowmo""}"
2025-10-23T15:31:03.971Z,20251023-153047-80c3d3,hit,"{""lives_after"": 2, ""difficulty"": 1.23}"
2025-10-23T15:31:07.116Z,20251023-153047-5c34a1,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 384}"
2025-10-23T15:31:07.166Z,20251023-153047-80c3d3,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 723}"
2025-10-23T15:31:08.922Z,20251023-153047-80c3d3,hit,"{""lives_after"": 1, ""difficulty"": 0.86}"
2025-10-23T15:31:13.955Z,20251023-153047-5c34a1,hit,"{""lives_after"": 2, ""difficulty"": 1.79}"
2025-10-23T15:31:14.907Z,20251023-153047-80c3d3,hit,"{""lives_after"": 0, ""difficulty"": 0.66}"
2025-10-23T15:31:17.048Z,20251023-153047-5c34a1,powerup_spawn,"{""kind"": ""shield"", ""x"": 839}"
2025-10-23T15:31:27.342Z,20251023-153047-5c34a1,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 297}"
2025-10-23T15:31:36.592Z,20251023-153047-5c34a1,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 836}"
2025-10-23T15:31:40.073Z,20251023-153047-5c34a1,powerup_pickup,"{""kind"": ""slowmo""}"
2025-10-23T15:31:43.221Z,20251023-153047-5c34a1,hit,"{""lives_after"": 1, ""difficulty"": 2.16}"
2025-10-23T15:31:45.056Z,20251023-153047-5c34a1,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 296}"
2025-10-23T15:31:47.938Z,20251023-153047-5c34a1,hit,"{""lives_after"": 0, ""difficulty"": 1.55}"
2025-10-23T15:34:09.445Z,20251023-153400-779900,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 737}"
2025-10-23T15:34:12.956Z,20251023-153400-779900,powerup_pickup,"{""kind"": ""slowmo""}"
2025-10-23T15:34:16.214Z,20251023-153400-779900,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 150}"
2025-10-23T15:34:19.718Z,20251023-153400-779900,powerup_pickup,"{""kind"": ""slowmo""}"
2025-10-23T15:34:26.679Z,20251023-153400-779900,powerup_spawn,"{""kind"": ""shield"", ""x"": 89}"
2025-10-23T15:34:30.177Z,20251023-153400-779900,powerup_pickup,"{""kind"": ""shield""}"
2025-10-23T15:34:34.178Z,20251023-153400-779900,shield_used,"{""difficulty"": 2.05}"
2025-10-23T15:34:35.117Z,20251023-153400-779900,hit,"{""lives_after"": 2, ""difficulty"": 2.08}"
2025-10-23T15:34:36.075Z,20251023-153400-779900,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 873}"
2025-10-23T15:34:39.163Z,20251023-153400-779900,hit,"{""lives_after"": 1, ""difficulty"": 1.5}"
2025-10-23T15:34:39.969Z,20251023-153400-779900,powerup_pickup,"{""kind"": ""slowmo""}"
2025-10-23T15:34:44.770Z,20251023-153400-779900,hit,"{""lives_after"": 0, ""difficulty"": 1.11}"
2025-10-23T15:37:36.797Z,20251023-153728-7633a9,powerup_spawn,"{""kind"": ""shield"", ""x"": 927}"
2025-10-23T15:37:43.787Z,20251023-153728-7633a9,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 797}"
2025-10-23T15:37:47.101Z,20251023-153728-7633a9,hit,"{""lives_after"": 2, ""difficulty"": 1.48}"
2025-10-23T15:37:52.439Z,20251023-153728-7633a9,powerup_spawn,"{""kind"": ""shield"", ""x"": 491}"
2025-10-23T15:37:58.647Z,20251023-153728-7633a9,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 423}"
2025-10-23T15:38:02.133Z,20251023-153728-7633a9,powerup_pickup,"{""kind"": ""slowmo""}"
2025-10-23T15:38:05.055Z,20251023-153728-7633a9,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 826}"
2025-10-23T15:38:12.674Z,20251023-153728-7633a9,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 259}"
2025-10-23T15:38:16.164Z,20251023-153728-7633a9,powerup_pickup,"{""kind"": ""slowmo""}"
2025-10-23T15:38:20.952Z,20251023-153728-7633a9,hit,"{""lives_after"": 1, ""difficulty"": 2.09}"
2025-10-23T15:38:23.263Z,20251023-153728-7633a9,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 728}"
2025-10-23T15:38:24.972Z,20251023-153728-7633a9,hit,"{""lives_after"": 0, ""difficulty"": 1.5}"
2025-10-23T15:38:37.655Z,20251023-153826-175a03,powerup_spawn,"{""kind"": ""slowmo"", ""x"": 182}"
2025-10-23T15:38:41.930Z,20251023-153826-175a03,powerup_pickup,"{""kind"": ""slowmo""}"
