ts_start,ts_end,session_id,subject_id,protocol_version,notes,config_json,duration_sec,final_difficulty,lives_remaining,shields_collected,near_misses,meteors_spawned,meteors_avoided
2025-10-03T00:02:49.599Z,,20251003-000249-a38436,anon001,v0.3-rehab,,"{""pixel_scale"": 3, ""scanline_alpha"": 36, ""block_seconds"": 60, ""protocol"": ""v0.3-rehab"", ""dda"": {""diff_min"": 0.6, ""diff_max"": 3.0, ""diff_start"": 0.9}}",,,,,,,
,2025-10-03T00:03:51.052Z,20251003-000249-a38436,anon001,v0.3-rehab,SESSION_END,{},51.56,0.96,0,2,0,82,61
2025-10-23T15:30:47.651Z,,20251023-153047-80c3d3,anon001,v0.3-rehab,,"{""pixel_scale"": 3, ""scanline_alpha"": 36, ""block_seconds"": 60, ""protocol"": ""v0.3-rehab"", ""dda"": {""diff_min"": 0.6, ""diff_max"": 3.0, ""diff_start"": 0.9}}",,,,,,,
2025-10-23T15:30:47.651Z,,20251023-153047-5c34a1,anon001,v0.3-rehab,,"{""pixel_scale"": 3, ""scanline_alpha"": 36, ""block_seconds"": 60, ""protocol"": ""v0.3-rehab"", ""dda"": {""diff_min"": 0.6, ""diff_max"": 3.0, ""diff_start"": 0.9}}",,,,,,,
,2025-10-23T15:31:56.055Z,20251023-153047-5c34a1,anon001,v0.3-rehab,SESSION_END,{},59.56,1.07,0,0,0,126,94
2025-10-23T15:31:56.055Z,,20251023-153156-5a97ab,anon001,v0.3-rehab,,"{""pixel_scale"": 3, ""scanline_alpha"": 36, ""block_seconds"": 60, ""protocol"": ""v0.3-rehab"", ""dda"": {""diff_min"": 0.6, ""diff_max"": 3.0, ""diff_start"": 0.9}}",,,,,,,
,2025-10-23T15:31:57.447Z,20251023-153156-5a97ab,anon001,v0.3-rehab,SESSION_END,{},1.26,0.93,3,0,0,0,0
,2025-10-23T15:34:00.983Z,20251023-153047-80c3d3,anon001,v0.3-rehab,SESSION_END,{},27.25,0.60,0,0,0,27,14
2025-10-23T15:34:00.984Z,,20251023-153400-779900,anon001,v0.3-rehab,,"{""pixel_scale"": 3, ""scanline_alpha"": 36, ""block_seconds"": 60, ""protocol"": ""v0.3-rehab"", ""dda"": {""diff_min"": 0.6, ""diff_max"": 3.0, ""diff_start"": 0.9}}",,,,,,,
,2025-10-23T15:34:47.780Z,20251023-153400-779900,anon001,v0.3-rehab,SESSION_END,{},43.79,0.74,0,1,0,85,60
2025-10-23T15:37:28.525Z,,20251023-153728-7633a9,anon001,v0.3-rehab,,"{""pixel_scale"": 3, ""scanline_alpha"": 36, ""block_seconds"": 60, ""protocol"": ""v0.3-rehab"", ""dda"": {""diff_min"": 0.6, ""diff_max"": 3.0, ""diff_start"": 0.9}}",,,,,,,
,2025-10-23T15:38:26.682Z,20251023-153728-7633a9,anon001,v0.3-rehab,SESSION_END,{},56.45,1.03,0,0,0,104,81
2025-10-23T15:38:26.684Z,,20251023-153826-175a03,anon001,v0.3-rehab,,"{""pixel_scale"": 3, ""scanline_alpha"": 36, ""block_seconds"": 60, ""protocol"": ""v0.3-rehab"", ""dda"": {""diff_min"": 0.6, ""diff_max"": 3.0, ""diff_start"": 0.9}}",,,,,,,
,2025-10-23T15:39:45.639Z,20251023-153826-175a03,anon001,v0.3-rehab,SESSION_END,{},72.08,1.33,0,0,0,157,128
2025-10-23T15:39:45.639Z,,20251023-153945-054fe7,anon001,v0.3-rehab,,"{""pixel_scale"": 3, ""scanline_alpha"": 36, ""block_seconds"": 60, ""protocol"": ""v0.3-rehab"", ""dda"": {""diff_min"": 0.6, ""diff_max"": 3.0, ""diff_start"": 0.9}}",,,,,,,
,2025-10-23T15:40:01.991Z,20251023-153945-054fe7,anon001,v0.3-rehab,SESSION_END,{},16.23,0.91,2,0,0,18,12
2025-10-23T16:19:04.410Z,,20251023-161904-d3912a,anon001,v0.3-rehab,,"{""pixel_scale"": 3, ""scanline_alpha"": 36, ""block_seconds"": 60, ""protocol"": ""v0.3-rehab"", ""dda"": {""diff_min"": 0.6, ""diff_max"": 3.0, ""diff_start"": 0.9}}",,,,,,,
,2025-10-23T16:19:30.208Z,20251023-161904-d3912a,anon001,v0.3-rehab,SESSION_END,{},25.69,1.18,2,1,0,36,21
2025-10-23T16:26:07.905Z,,20251023-162607-7de203,anon001,v0.3-rehab,,"{""pixel_scale"": 3, ""scanline_alpha"": 36, ""block_seconds"": 60, ""protocol"": ""v0.3-rehab"", ""dda"": {""diff_min"": 0.6, ""diff_max"": 3.0, ""diff_start"": 0.9}}",,,,,,,
2025-10-23T16:28:40.998Z,,20251023-162840-c3347f,anon001,v0.3-rehab,,"{""pixel_scale"": 3, ""scanline_alpha"": 36, ""block_seconds"": 60, ""protocol"": ""v0.3-rehab"", ""dda"": {""diff_min"": 0.6, ""diff_max"": 3.0, ""diff_start"": 0.9}}",,,,,,,
2025-10-23T16:30:15.984Z,,20251023-163015-3402a8,anon001,v0.3-rehab,,"{""pixel_scale"": 3, ""scanline_alpha"": 36, ""block_seconds"": 60, ""protocol"": ""v0.3-rehab"", ""dda"": {""diff_min"": 0.6, ""diff_max"": 3.0, ""diff_start"": 0.9}}",,,,,,,
2025-10-23T16:32:29.058Z,,20251023-163229-84efc7,anon001,v0.3-rehab,,"{""pixel_scale"": 3, ""scanline_alpha"": 36, ""block_seconds"": 60, ""protocol"": ""v0.3-rehab"", ""dda"": {""diff_min"": 0.6, ""diff_max"": 3.0, ""diff_start"": 0.9}}",,,,,,,
,2025-10-23T16:33:20.310Z,20251023-163229-84efc7,anon001,v0.3-rehab,SESSION_END,{},47.73,0.75,0,1,0,95,70
2025-10-23T16:55:11.591Z,,20251023-165511-e28c4c,anon001,v0.3-rehab,,"{""pixel_scale"": 3, ""scanline_alpha"": 36, ""block_seconds"": 60, ""protocol"": ""v0.3-rehab"", ""dda"": {""diff_min"": 0.6, ""diff_max"": 3.0, ""diff_start"": 0.9}}",,,,,,,
,2025-10-23T16:56:03.355Z,20251023-165511-e28c4c,anon001,v0.3-rehab,SESSION_END,{},49.21,0.78,0,0,0,101,79
2025-10-23T16:57:48.610Z,,20251023-165748-55d5b6,anon001,v0.3-rehab,,"{""pixel_scale"": 3, ""scanline_alpha"": 36, ""block_seconds"": 60, ""protocol"": ""v0.3-rehab"", ""dda"": {""diff_min"": 0.6, ""diff_max"": 3.0, ""diff_start"": 0.9}}",,,,,,,
,2025-10-23T16:59:09.924Z,20251023-165748-55d5b6,anon001,v0.3-rehab,SESSION_END,{},72.93,1.25,0,2,0,223,180
